Nombres,Apellidos,id,email,user_id,age,occupation,FinancialGoals,RiskTolerance,FinancialPreference,FinancialOptions,FinalKnowledge,target_period,income_source,income_average,expenses_average,saving_plan,contribution
Gsxamxhf,Upurmtdtq,466293,gsxamxhf.upurmtdtq@outlook.com,466293,21,Físicos,EDUCACION,ARRIESGADO,AHORRO,,INTERMEDIO,1 mes,dependiente,363202,247986,SI,40
Vdyupl,Rzlsrgook,137577,vdyupl.rzlsrgook@hotmail.com,137577,48,Mozos y taberneros,LIBERTAD_FINANCIERA,ARRIESGADO,INVERSION,OTROS,INTERMEDIO,1 mes,ambos,553227,424447,SI,54
Kyvjgywo,Lnrwimvq,466082,kyvjgywo.lnrwimvq@hotmail.com,466082,27,Psicólogos,IMPREVISTOS,ARRIESGADO,INVERSION,ETFS,AVANZADO,1 año,independiente,573921,306969,NO,89
Vsyi,Psfbxhevkg,476792,vsyi.psfbxhevkg@hotmail.com,476792,23,Operador de máquina,JUBILACION,CONSERVADOR,AHORRO,,INTERMEDIO,1 año,independiente,498556,472672,SI,14
Wscrmsjc,Rltpxyhps,647197,wscrmsjc.rltpxyhps@outlook.com,647197,54,Ingeniero de telecomunicaciones,VIVIENDA,ARRIESGADO,AHORRO,,INTERMEDIO,10 años,ambos,287485,149838,NO,3
Edttuf,Ptpeyb,383100,edttuf.ptpeyb@outlook.com,383100,38,Agente de viaje,VIVIENDA,MODERADO,INVERSION,ETFS,INTERMEDIO,1 año,dependiente,366275,286970,NO,57
Rfjryn,Eybbkltor,117307,rfjryn.eybbkltor@outlook.com,117307,68,Diseñador de interiores,PROYECTOS_LARGO_PLAZO,MODERADO,AHORRO,,BASICO,1 mes,dependiente,603593,518436,SI,68
Faqeagkc,Lijta,474841,faqeagkc.lijta@gmail.com,474841,41,Creadores y analistas de sistemas informáticos,IMPREVISTOS,MODERADO,AHORRO,,AVANZADO,1 año,independiente,849170,608190,SI,3
Tjyru,Hmcmktx,597458,tjyru.hmcmktx@outlook.com,597458,53,Operador de máquina,EDUCACION,CONSERVADOR,AHORRO,,AVANZADO,5 meses,independiente,834131,613790,NO,2
Vpocumd,Fwvond,786049,vpocumd.fwvond@hotmail.com,786049,68,Cocinero,VIVIENDA,ARRIESGADO,INVERSION,CDEARS,NINGUNO,1 mes,dependiente,288017,235551,NO,84
Pemwbe,Erfskq,313360,pemwbe.erfskq@yahoo.com,313360,19,Conserje,PROYECTOS_LARGO_PLAZO,CONSERVADOR,INVERSION,CDEARS,BASICO,5 meses,dependiente,322248,183987,SI,87
Xvztqso,Bvuhii,780724,xvztqso.bvuhii@hotmail.com,780724,50,Músico,JUBILACION,CONSERVADOR,INVERSION,BONOS,BASICO,1 año,independiente,639575,416132,NO,4
Ufxcnkja,Wvvjhunvo,263886,ufxcnkja.wvvjhunvo@yahoo.com,263886,29,,JUBILACION,CONSERVADOR,AHORRO,,BASICO,10 años,independiente,776770,683028,NO,29
Jeureep,Afimkxjd,814860,jeureep.afimkxjd@hotmail.com,814860,52,Cartógrafos y agrimensores,VACACIONES,CONSERVADOR,AHORRO,,NINGUNO,1 año,jubilación,392498,282181,NO,99
Btco,Dkrodvhj,694191,btco.dkrodvhj@gmail.com,694191,24,Biólogo,PROYECTOS_LARGO_PLAZO,CONSERVADOR,INVERSION,CDEARS,BASICO,10 años,independiente,298895,292511,NO,84
Cjprahqc,Jowleja,702039,cjprahqc.jowleja@gmail.com,702039,70,Profesionales del trabajo social,PROYECTOS_LARGO_PLAZO,CONSERVADOR,AHORRO,,AVANZADO,1 año,dependiente,819000,566631,NO,32
Twghr,Tnltokusbv,180701,twghr.tnltokusbv@yahoo.com,180701,40,Policía,OTROS,ARRIESGADO,INVERSION,ACCIONES,BASICO,1 año,ambos,653761,431477,SI,23
Ztoc,Kytzpm,469167,ztoc.kytzpm@yahoo.com,469167,32,Fotógrafo,JUBILACION,CONSERVADOR,AHORRO,,NINGUNO,5 meses,independiente,722149,529563,SI,16
Mkdp,Lusdzsr,801579,mkdp.lusdzsr@yahoo.com,801579,70,Arquitecto,OTROS,MODERADO,INVERSION,CDEARS,AVANZADO,1 mes,independiente,542210,404836,NO,75
Rqid,Habwgso,930633,rqid.habwgso@hotmail.com,930633,40,Técnicos en seguridad aeronáutica,VACACIONES,ARRIESGADO,INVERSION,BONOS,INTERMEDIO,5 meses,dependiente,527394,290793,NO,17
Sgtf,Bqthxec,361365,sgtf.bqthxec@outlook.com,361365,37,Ingeniero mecánico,EDUCACION,CONSERVADOR,AHORRO,,BASICO,1 mes,ambos,675711,348720,SI,100
Ashl,Bhnyfhrm,893347,ashl.bhnyfhrm@yahoo.com,893347,54,Recepcionista,PROYECTOS_LARGO_PLAZO,ARRIESGADO,INVERSION,CDF,AVANZADO,1 año,independiente,295939,214014,SI,98
Xuyr,Rtltylxsx,399946,xuyr.rtltylxsx@gmail.com,399946,47,Ingeniero de telecomunicaciones,VACACIONES,MODERADO,AHORRO,,NINGUNO,10 años,dependiente,712388,501865,SI,3
Vazjuh,Pgfyzemxo,740691,vazjuh.pgfyzemxo@outlook.com,740691,54,Piloto,OTROS,MODERADO,AHORRO,,INTERMEDIO,1 mes,jubilación,683537,546803,SI,22
Yymref,Denqsm,113721,yymref.denqsm@outlook.com,113721,44,Técnico,IMPREVISTOS,CONSERVADOR,AHORRO,,NINGUNO,5 meses,jubilación,453761,308445,NO,31
Zvkhkwb,Thipxi,147745,zvkhkwb.thipxi@gmail.com,147745,48,,VACACIONES,MODERADO,INVERSION,ETFS,AVANZADO,10 años,dependiente,301849,223259,SI,88
Xzuj,Hlrychmbvd,906030,xzuj.hlrychmbvd@gmail.com,906030,36,Dentista,IMPREVISTOS,ARRIESGADO,AHORRO,,INTERMEDIO,1 año,ambos,812284,637784,SI,99
Veuznkcy,Hlvtqt,331500,veuznkcy.hlvtqt@gmail.com,331500,35,Operadores de equipos de radiodifusión,IMPREVISTOS,ARRIESGADO,AHORRO,,BASICO,10 años,dependiente,879323,506697,NO,55
Btgr,Mjjjwzs,988845,btgr.mjjjwzs@gmail.com,988845,38,Químico,EDUCACION,MODERADO,INVERSION,BONOS,INTERMEDIO,1 año,dependiente,870924,774084,NO,96
Xhffest,Vnaies,531270,xhffest.vnaies@hotmail.com,531270,28,Locutores de radio y televisión y afines,LIBERTAD_FINANCIERA,ARRIESGADO,AHORRO,,AVANZADO,1 año,dependiente,836602,509360,NO,53
Qeiy,Jrmoaqwigr,537333,qeiy.jrmoaqwigr@yahoo.com,537333,56,Ingeniero químico,VIVIENDA,MODERADO,INVERSION,BONOS,AVANZADO,10 años,dependiente,513629,317781,NO,55
Imkcsj,Hmxoaudn,522185,imkcsj.hmxoaudn@gmail.com,522185,26,Bombero,VACACIONES,CONSERVADOR,INVERSION,CDF,BASICO,1 año,ambos,643932,532303,NO,61
Aorow,Ajatbjjzfc,785040,aorow.ajatbjjzfc@outlook.com,785040,52,Bombero,JUBILACION,ARRIESGADO,AHORRO,,NINGUNO,1 mes,dependiente,860992,698016,SI,24
Wcnh,Oltuwkptl,541133,wcnh.oltuwkptl@hotmail.com,541133,62,Agente inmobiliario,IMPREVISTOS,CONSERVADOR,INVERSION,CDEARS,INTERMEDIO,1 mes,ambos,878995,803828,SI,80
Qzoq,Qtpiilfi,134696,qzoq.qtpiilfi@gmail.com,134696,36,Médico,VACACIONES,MODERADO,AHORRO,,AVANZADO,1 año,independiente,762383,382834,SI,57
Gmhtsmg,Wccpxmlhd,459138,gmhtsmg.wccpxmlhd@outlook.com,459138,29,Profesionales del trabajo social,EDUCACION,MODERADO,INVERSION,CDF,INTERMEDIO,1 mes,independiente,615562,523035,NO,29
Xnunnc,Rhwnjr,491588,xnunnc.rhwnjr@gmail.com,491588,59,Técnico,JUBILACION,ARRIESGADO,AHORRO,,BASICO,1 año,independiente,820448,639383,NO,9
Zjwdyok,Gmrwezmu,286898,zjwdyok.gmrwezmu@gmail.com,286898,20,Agrónomo,LIBERTAD_FINANCIERA,ARRIESGADO,INVERSION,ACCIONES,NINGUNO,1 año,independiente,758567,408909,SI,38
Wfniu,Obkdqs,195109,wfniu.obkdqs@gmail.com,195109,56,Filósofos,OTROS,MODERADO,INVERSION,ACCIONES,AVANZADO,10 años,jubilación,569233,525081,NO,84
Hcdomw,Nkgznaz,602234,hcdomw.nkgznaz@gmail.com,602234,41,Médico,VACACIONES,MODERADO,AHORRO,,BASICO,1 mes,ambos,706537,467523,NO,74
Gtnvfbxv,Dvqvxk,422685,gtnvfbxv.dvqvxk@hotmail.com,422685,28,Mecánico,VIVIENDA,MODERADO,INVERSION,CDF,NINGUNO,5 meses,dependiente,542310,286734,SI,83
Dszo,Dcplrsgaym,176315,dszo.dcplrsgaym@outlook.com,176315,45,Ingeniero mecánico,VIVIENDA,MODERADO,INVERSION,ETFS,AVANZADO,1 año,ambos,567637,478891,SI,98
Yfbvq,Jlgudbd,254151,yfbvq.jlgudbd@outlook.com,254151,25,Controlador de tráfico aéreo,PROYECTOS_LARGO_PLAZO,MODERADO,INVERSION,ACCIONES,INTERMEDIO,1 mes,ambos,602060,515032,NO,67
Pjhyma,Dsgnhyvaqb,388442,pjhyma.dsgnhyvaqb@yahoo.com,388442,68,Personal doméstico,LIBERTAD_FINANCIERA,CONSERVADOR,AHORRO,,AVANZADO,1 mes,jubilación,710088,382157,NO,95
Dlcfhpuj,Xieubftz,520415,dlcfhpuj.xieubftz@hotmail.com,520415,32,Dentista,IMPREVISTOS,ARRIESGADO,AHORRO,,BASICO,10 años,ambos,389648,293448,SI,30
Nadq,Zhxvycysjs,157055,nadq.zhxvycysjs@outlook.com,157055,64,Ingeniero electricista,IMPREVISTOS,ARRIESGADO,AHORRO,,AVANZADO,1 mes,jubilación,429797,323887,NO,54
Evayjkew,Hxgqjhsl,576264,evayjkew.hxgqjhsl@gmail.com,576264,24,Veterinario,OTROS,ARRIESGADO,AHORRO,,BASICO,1 mes,dependiente,311259,234103,SI,14
Cwbpnql,Vnsrtw,880660,cwbpnql.vnsrtw@outlook.com,880660,64,Operador de máquina,EDUCACION,ARRIESGADO,INVERSION,BONOS,NINGUNO,5 meses,independiente,341214,277822,NO,54
Nrshsab,Vykxtqj,778123,nrshsab.vykxtqj@gmail.com,778123,50,Personal doméstico,OTROS,MODERADO,INVERSION,ETFS,BASICO,5 meses,ambos,687550,398264,NO,17
Bwxu,Phfkcrlahb,575821,bwxu.phfkcrlahb@gmail.com,575821,60,,PROYECTOS_LARGO_PLAZO,CONSERVADOR,AHORRO,,AVANZADO,1 mes,dependiente,822279,604567,NO,77
Vfyrqfd,Cbeajnet,757609,vfyrqfd.cbeajnet@hotmail.com,757609,25,Estadístico,EDUCACION,ARRIESGADO,AHORRO,,BASICO,10 años,dependiente,855439,591811,SI,54
Fvje,Pkrgpzgz,731665,fvje.pkrgpzgz@gmail.com,731665,24,Piloto,EDUCACION,MODERADO,AHORRO,,INTERMEDIO,5 meses,independiente,393442,268482,NO,73
Xbrynbyb,Ppggtqctf,238339,xbrynbyb.ppggtqctf@outlook.com,238339,57,Músico,IMPREVISTOS,CONSERVADOR,INVERSION,CDEARS,INTERMEDIO,10 años,independiente,539851,279822,NO,63
Cgsaksl,Dqrgaw,528673,cgsaksl.dqrgaw@outlook.com,528673,48,,VIVIENDA,MODERADO,INVERSION,OTROS,AVANZADO,1 mes,ambos,853298,743192,NO,50
Mshp,Breen,159860,mshp.breen@yahoo.com,159860,26,Escritor,VACACIONES,MODERADO,AHORRO,,AVANZADO,1 mes,independiente,450010,273044,NO,55
Qmwxyg,Rbtgx,551883,qmwxyg.rbtgx@gmail.com,551883,49,Músico,EDUCACION,CONSERVADOR,INVERSION,ACCIONES,INTERMEDIO,1 año,independiente,387726,316957,SI,57
Njcy,Sotpjdkfr,819367,njcy.sotpjdkfr@yahoo.com,819367,27,Mecánico,VACACIONES,CONSERVADOR,INVERSION,CDF,INTERMEDIO,1 mes,independiente,887762,566591,NO,100
Zsrhqs,Pffbsh,779850,zsrhqs.pffbsh@hotmail.com,779850,68,Fotógrafo,OTROS,ARRIESGADO,AHORRO,,AVANZADO,10 años,independiente,695648,671624,SI,100
Mfol,Anctqerf,713377,mfol.anctqerf@gmail.com,713377,40,Bombero,VIVIENDA,ARRIESGADO,AHORRO,,BASICO,1 año,independiente,819732,509977,SI,73
Knxlmyl,Ouyhlldxyq,343459,knxlmyl.ouyhlldxyq@yahoo.com,343459,26,Agente de bolsa,JUBILACION,MODERADO,INVERSION,BONOS,INTERMEDIO,10 años,ambos,539356,411282,SI,99
Gocd,Jpvwuzdxe,413029,gocd.jpvwuzdxe@gmail.com,413029,33,,PROYECTOS_LARGO_PLAZO,CONSERVADOR,AHORRO,,INTERMEDIO,10 años,ambos,640558,417753,SI,43
Xmlcumg,Suplpxeak,796028,xmlcumg.suplpxeak@outlook.com,796028,69,Coreógrafo,EDUCACION,CONSERVADOR,INVERSION,ACCIONES,AVANZADO,5 meses,ambos,515712,468647,NO,73
Eymcmmv,Pkgenetsd,495712,eymcmmv.pkgenetsd@gmail.com,495712,45,Secretaria,VACACIONES,MODERADO,INVERSION,BONOS,BASICO,1 año,dependiente,715953,688865,SI,31
Bzqf,Jhfqcwrkmd,321363,bzqf.jhfqcwrkmd@outlook.com,321363,48,Catador,VACACIONES,MODERADO,AHORRO,,NINGUNO,1 mes,independiente,700428,538489,SI,52
Qyprca,Vnfuf,416560,qyprca.vnfuf@gmail.com,416560,35,Músico,VACACIONES,MODERADO,AHORRO,,AVANZADO,10 años,dependiente,406802,383243,NO,5
Rsrcp,Tjwevdz,557565,rsrcp.tjwevdz@hotmail.com,557565,67,Operador de máquina,JUBILACION,CONSERVADOR,AHORRO,,BASICO,5 meses,independiente,661922,365498,SI,98
Ikcblry,Ablvvgwfjr,109562,ikcblry.ablvvgwfjr@gmail.com,109562,46,Policía,JUBILACION,CONSERVADOR,AHORRO,,INTERMEDIO,1 mes,dependiente,872245,542074,NO,94
Zewptzy,Vdfmoitpo,683870,zewptzy.vdfmoitpo@hotmail.com,683870,43,Conductor,VIVIENDA,MODERADO,AHORRO,,BASICO,5 meses,independiente,584492,506185,NO,34
Nwnx,Dhseodr,706713,nwnx.dhseodr@gmail.com,706713,63,Personal doméstico,JUBILACION,CONSERVADOR,INVERSION,ACCIONES,NINGUNO,1 año,ambos,413680,394447,NO,16
Zdutrw,Eueiirvaiq,701112,zdutrw.eueiirvaiq@yahoo.com,701112,62,Fotógrafo,EDUCACION,CONSERVADOR,AHORRO,,AVANZADO,1 mes,ambos,628656,314913,NO,5
Nznzq,Nddcnkvws,365112,nznzq.nddcnkvws@yahoo.com,365112,49,Técnicos en seguridad aeronáutica,VIVIENDA,CONSERVADOR,AHORRO,,NINGUNO,1 año,dependiente,317330,208939,NO,54
Ykhlmc,Svpecccyeh,395160,ykhlmc.svpecccyeh@outlook.com,395160,21,Bombero,VIVIENDA,CONSERVADOR,INVERSION,ACCIONES,AVANZADO,1 mes,ambos,549849,362807,NO,84
Japikkxl,Jjwnm,790950,japikkxl.jjwnm@hotmail.com,790950,33,Psicólogos,VACACIONES,CONSERVADOR,INVERSION,BONOS,AVANZADO,1 mes,dependiente,379727,299422,SI,70
Stgscw,Extwpm,556338,stgscw.extwpm@outlook.com,556338,48,Ingenieros de minas,EDUCACION,CONSERVADOR,AHORRO,,BASICO,5 meses,ambos,855088,592940,SI,39
Ontubm,Mjdwxh,459233,ontubm.mjdwxh@outlook.com,459233,20,Cocinero,OTROS,CONSERVADOR,INVERSION,BONOS,BASICO,1 año,ambos,828585,790367,SI,6
Zawkbjgc,Wlywovnm,234418,zawkbjgc.wlywovnm@gmail.com,234418,33,Agentes público,VIVIENDA,MODERADO,INVERSION,CDF,NINGUNO,1 mes,ambos,367468,279218,NO,79
Ddkezc,Msubshp,506873,ddkezc.msubshp@hotmail.com,506873,52,,EDUCACION,MODERADO,INVERSION,OTROS,INTERMEDIO,10 años,jubilación,413788,359961,SI,84
Blzgljcl,Zypxdnuqf,111845,blzgljcl.zypxdnuqf@hotmail.com,111845,46,Bombero,PROYECTOS_LARGO_PLAZO,CONSERVADOR,INVERSION,BONOS,NINGUNO,5 meses,jubilación,820872,705619,NO,62
Znvedm,Vktgqxe,595013,znvedm.vktgqxe@hotmail.com,595013,50,Biólogo,EDUCACION,ARRIESGADO,AHORRO,,NINGUNO,1 año,jubilación,545949,307883,SI,17
Bpxc,Tyespml,824996,bpxc.tyespml@outlook.com,824996,27,Contador,JUBILACION,MODERADO,AHORRO,,NINGUNO,5 meses,ambos,631113,377045,NO,54
Nhcchst,Emmbhod,625104,nhcchst.emmbhod@gmail.com,625104,45,Operador,PROYECTOS_LARGO_PLAZO,MODERADO,AHORRO,,NINGUNO,1 año,dependiente,535387,307271,SI,41
Odpggm,Ujedyulfcn,124546,odpggm.ujedyulfcn@hotmail.com,124546,69,Gerentes de empresas,OTROS,CONSERVADOR,AHORRO,,AVANZADO,1 mes,ambos,498537,394661,NO,10
Rfbznlc,Qjbonp,981362,rfbznlc.qjbonp@outlook.com,981362,50,Escritor,PROYECTOS_LARGO_PLAZO,ARRIESGADO,AHORRO,,NINGUNO,10 años,independiente,788219,645326,NO,32
Vfvkg,Obhroxxn,991618,vfvkg.obhroxxn@hotmail.com,991618,30,Cartógrafos y agrimensores,VIVIENDA,ARRIESGADO,INVERSION,ETFS,BASICO,10 años,jubilación,803803,508438,SI,97
Imtj,Thjpnxucwo,724364,imtj.thjpnxucwo@hotmail.com,724364,60,Agricultor,JUBILACION,ARRIESGADO,AHORRO,,AVANZADO,1 año,jubilación,756894,656745,SI,90
Eqfyrie,Gsmouvjdso,400448,eqfyrie.gsmouvjdso@outlook.com,400448,70,,EDUCACION,MODERADO,INVERSION,BONOS,NINGUNO,1 mes,independiente,646590,488522,NO,14
Vofdhpqr,Urvztpz,669316,vofdhpqr.urvztpz@hotmail.com,669316,61,Coreógrafo,VACACIONES,MODERADO,INVERSION,CDEARS,NINGUNO,1 mes,dependiente,795424,729790,NO,83
Mtddlttx,Ecoemuox,988341,mtddlttx.ecoemuox@hotmail.com,988341,43,Farmacólogos,PROYECTOS_LARGO_PLAZO,MODERADO,INVERSION,CDF,AVANZADO,1 año,dependiente,317319,191765,NO,96
Wjexj,Wjxwevdm,903033,wjexj.wjxwevdm@yahoo.com,903033,33,Personal doméstico,LIBERTAD_FINANCIERA,MODERADO,AHORRO,,INTERMEDIO,1 año,jubilación,622779,318834,NO,7
Dwdtbi,Cczvxmn,660880,dwdtbi.cczvxmn@hotmail.com,660880,61,Técnicos en seguridad aeronáutica,VACACIONES,CONSERVADOR,AHORRO,,INTERMEDIO,1 año,jubilación,316230,219834,SI,4
Xykd,Zbzoryjdyz,298008,xykd.zbzoryjdyz@hotmail.com,298008,43,Mozos y taberneros,LIBERTAD_FINANCIERA,CONSERVADOR,INVERSION,ACCIONES,BASICO,1 mes,independiente,884876,740832,NO,24
Iegpfzh,Pwyzurjuwn,230298,iegpfzh.pwyzurjuwn@yahoo.com,230298,55,,VIVIENDA,CONSERVADOR,AHORRO,,BASICO,1 año,jubilación,874444,592291,SI,69
Iybadyyz,Fnoavt,855277,iybadyyz.fnoavt@gmail.com,855277,59,,VACACIONES,MODERADO,INVERSION,BONOS,BASICO,1 año,jubilación,373633,318360,NO,73
Dqst,Hojqqpgdvk,426515,dqst.hojqqpgdvk@outlook.com,426515,28,Controlador de tráfico aéreo,EDUCACION,ARRIESGADO,INVERSION,CDF,INTERMEDIO,1 mes,independiente,285854,167108,NO,38
Xwreomrz,Kdbuymlo,405924,xwreomrz.kdbuymlo@yahoo.com,405924,41,Físicos,VACACIONES,ARRIESGADO,AHORRO,,NINGUNO,1 año,dependiente,796436,589551,NO,84
Qezn,Uekolkig,118094,qezn.uekolkig@yahoo.com,118094,46,Agricultor,EDUCACION,MODERADO,INVERSION,CDF,INTERMEDIO,10 años,ambos,819391,607519,NO,47
Oznke,Rvmve,615126,oznke.rvmve@outlook.com,615126,33,Veterinario,JUBILACION,CONSERVADOR,INVERSION,CDEARS,BASICO,1 año,dependiente,431883,336947,SI,54
Dunqybai,Tunhwzm,566906,dunqybai.tunhwzm@hotmail.com,566906,49,Bombero,IMPREVISTOS,CONSERVADOR,INVERSION,CDEARS,AVANZADO,10 años,dependiente,419698,400195,NO,94
Xzvgdpt,Zhnyf,780264,xzvgdpt.zhnyf@hotmail.com,780264,70,Ingeniero químico,OTROS,ARRIESGADO,AHORRO,,NINGUNO,1 mes,dependiente,784469,532462,SI,70
Vqlc,Kovyb,846785,vqlc.kovyb@gmail.com,846785,23,Chapistas y caldereros,IMPREVISTOS,CONSERVADOR,AHORRO,,AVANZADO,10 años,independiente,823252,668074,SI,70
Wbactt,Mxmmzshuz,854065,wbactt.mxmmzshuz@outlook.com,854065,43,Técnicos en seguridad aeronáutica,VACACIONES,MODERADO,INVERSION,CDF,NINGUNO,10 años,jubilación,638330,544711,NO,99
Hgrm,Kvbwcgbp,399647,hgrm.kvbwcgbp@hotmail.com,399647,36,Directores general,OTROS,CONSERVADOR,AHORRO,,BASICO,5 meses,dependiente,891300,752195,SI,97
Cvzgrb,Irsbjr,135340,cvzgrb.irsbjr@yahoo.com,135340,28,Biólogo,IMPREVISTOS,MODERADO,INVERSION,ACCIONES,BASICO,5 meses,dependiente,875658,469844,NO,47
Rjdgj,Xbxyown,831094,rjdgj.xbxyown@outlook.com,831094,42,Matemático,PROYECTOS_LARGO_PLAZO,ARRIESGADO,AHORRO,,BASICO,1 mes,ambos,740697,702400,NO,51
Whctqsy,Xhtkakihso,576183,whctqsy.xhtkakihso@yahoo.com,576183,31,Secretaria,OTROS,ARRIESGADO,AHORRO,,AVANZADO,5 meses,ambos,739819,387480,SI,1
Euflk,Ckosgldsp,877134,euflk.ckosgldsp@outlook.com,877134,48,Matemático,VACACIONES,MODERADO,INVERSION,CDEARS,BASICO,1 mes,ambos,294628,245831,SI,95
Jtxt,Ewwcmwn,177493,jtxt.ewwcmwn@yahoo.com,177493,60,,IMPREVISTOS,MODERADO,AHORRO,,BASICO,5 meses,independiente,429444,282321,NO,82
Qmeip,Vrpdqdgq,834154,qmeip.vrpdqdgq@gmail.com,834154,48,Profesor,IMPREVISTOS,MODERADO,AHORRO,,NINGUNO,1 mes,dependiente,754855,566004,SI,93
Ghsmzuok,Rpromrsrb,520572,ghsmzuok.rpromrsrb@gmail.com,520572,54,Policía,IMPREVISTOS,CONSERVADOR,AHORRO,,INTERMEDIO,10 años,independiente,736011,420967,SI,51
Rzef,Arjhaqpr,632971,rzef.arjhaqpr@yahoo.com,632971,60,Profesionales del trabajo social,IMPREVISTOS,ARRIESGADO,INVERSION,CDF,AVANZADO,1 año,jubilación,885474,542389,SI,60
Lwqft,Gzclnz,754209,lwqft.gzclnz@outlook.com,754209,69,Geólogo,IMPREVISTOS,MODERADO,INVERSION,OTROS,INTERMEDIO,1 año,dependiente,445670,239633,NO,14
Wsigzvoo,Orvxtyt,263845,wsigzvoo.orvxtyt@hotmail.com,263845,44,Agricultor,VIVIENDA,CONSERVADOR,AHORRO,,AVANZADO,1 año,independiente,725667,524100,SI,61
Tnpkd,Yeiyylq,516307,tnpkd.yeiyylq@hotmail.com,516307,31,Piloto,LIBERTAD_FINANCIERA,MODERADO,AHORRO,,INTERMEDIO,1 mes,ambos,573864,541420,NO,78
Hkxttuhy,Wpbqzk,445442,hkxttuhy.wpbqzk@outlook.com,445442,50,,OTROS,CONSERVADOR,INVERSION,BONOS,NINGUNO,10 años,ambos,405378,393315,NO,22
Usfnds,Ljhftxcrz,580561,usfnds.ljhftxcrz@yahoo.com,580561,30,Piloto,LIBERTAD_FINANCIERA,ARRIESGADO,AHORRO,,AVANZADO,10 años,ambos,555640,528238,SI,7
Tpxq,Twkhgzacpw,236387,tpxq.twkhgzacpw@outlook.com,236387,58,Cocinero,LIBERTAD_FINANCIERA,MODERADO,AHORRO,,INTERMEDIO,1 mes,ambos,781801,524008,SI,75
Bhamgwzj,Osstwyzuti,871452,bhamgwzj.osstwyzuti@yahoo.com,871452,24,Diseñador de interiores,JUBILACION,MODERADO,INVERSION,ETFS,INTERMEDIO,1 año,dependiente,467916,356857,NO,1
Mkngo,Yhvpdnz,776641,mkngo.yhvpdnz@outlook.com,776641,29,Profesionales del trabajo social,EDUCACION,MODERADO,INVERSION,CDEARS,INTERMEDIO,5 meses,dependiente,421289,275836,NO,71
Lfeoyq,Zkwnlvyae,527404,lfeoyq.zkwnlvyae@yahoo.com,527404,36,Controlador de tráfico aéreo,IMPREVISTOS,MODERADO,AHORRO,,BASICO,5 meses,independiente,478850,448940,NO,53
Iqscubr,Pjzqgybx,181574,iqscubr.pjzqgybx@gmail.com,181574,53,Escritor,JUBILACION,CONSERVADOR,INVERSION,ACCIONES,BASICO,10 años,independiente,785282,511579,NO,16
Avupgtzi,Epxxh,436228,avupgtzi.epxxh@yahoo.com,436228,35,Policía,IMPREVISTOS,MODERADO,AHORRO,,NINGUNO,10 años,dependiente,687775,474066,SI,95
Bklms,Jjbrutew,833308,bklms.jjbrutew@gmail.com,833308,46,Contador,VACACIONES,CONSERVADOR,INVERSION,CDEARS,INTERMEDIO,10 años,ambos,631115,522625,NO,13
Vcacmgg,Yirkfwvr,654197,vcacmgg.yirkfwvr@outlook.com,654197,19,Cocinero,EDUCACION,MODERADO,INVERSION,CDEARS,INTERMEDIO,1 año,dependiente,323555,202963,NO,90
Kuopkuo,Lrcfwe,434563,kuopkuo.lrcfwe@hotmail.com,434563,37,Programador informático,JUBILACION,CONSERVADOR,AHORRO,,AVANZADO,1 mes,dependiente,672771,516338,NO,41
Wunbt,Ntgfi,635008,wunbt.ntgfi@outlook.com,635008,45,Abogado,IMPREVISTOS,CONSERVADOR,INVERSION,CDEARS,NINGUNO,5 meses,independiente,444150,395325,SI,38
Vbnabu,Oppbzx,153974,vbnabu.oppbzx@yahoo.com,153974,22,Ingeniero civil,EDUCACION,CONSERVADOR,AHORRO,,BASICO,1 año,ambos,812556,437541,SI,57
Pohnjtk,Qkxywtai,990563,pohnjtk.qkxywtai@yahoo.com,990563,25,Catador,EDUCACION,ARRIESGADO,INVERSION,OTROS,BASICO,1 año,independiente,408547,325042,NO,45
Osbn,Xsmdrt,363467,osbn.xsmdrt@yahoo.com,363467,54,Recepcionista,PROYECTOS_LARGO_PLAZO,CONSERVADOR,INVERSION,BONOS,BASICO,1 año,ambos,848517,718004,SI,53
Tfkzh,Cgcmfwlu,113214,tfkzh.cgcmfwlu@yahoo.com,113214,66,Chapistas y caldereros,VIVIENDA,CONSERVADOR,INVERSION,OTROS,AVANZADO,10 años,ambos,757329,545118,SI,41
Slsk,Evyfduwxsd,694446,slsk.evyfduwxsd@gmail.com,694446,50,Personal doméstico,VIVIENDA,MODERADO,INVERSION,CDF,AVANZADO,5 meses,jubilación,610039,334503,SI,36
Foottsew,Ymymxzhbvd,865330,foottsew.ymymxzhbvd@outlook.com,865330,19,,VIVIENDA,MODERADO,AHORRO,,BASICO,5 meses,independiente,415707,330041,SI,24
Qtwdntmn,Oucxjjfp,864702,qtwdntmn.oucxjjfp@outlook.com,864702,42,,OTROS,ARRIESGADO,AHORRO,,NINGUNO,10 años,independiente,793739,775415,SI,96
Njfgr,Jjrxaaweng,145926,njfgr.jjrxaaweng@gmail.com,145926,26,Ingeniero mecánico,VIVIENDA,MODERADO,AHORRO,,INTERMEDIO,1 año,dependiente,852380,670426,SI,6
Eyxnat,Xguhithdeu,104114,eyxnat.xguhithdeu@outlook.com,104114,19,Fotógrafo,EDUCACION,MODERADO,INVERSION,CDF,BASICO,10 años,independiente,310921,209543,NO,35
